"Fon Kodu","Fon Adı","Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"AHB","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","13.15","2.28"
"AHC","ANADOLU HAYAT EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","1.85","1.85","51.23","1.91"
"AHL","ANADOLU HAYAT EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","15.12","2.28"
"AIE","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","0.85","0.85","27.9","1.09"
"AIP","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","0.85","0.85","25.01","1.09"
"AJA","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","17.82","1.09"
"AJB","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","26.6","1.09"
"AJC","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","29.73","1.09"
"AJF","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","51.86","1.09"
"AJG","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","24.39","1.09"
"AJH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","29.43","1.09"
"AJP","AXA HAYAT VE EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.69","1.09"
"AJR","AXA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","17.67","1.09"
"AJT","AXA HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","42.28","1.09"
"AJV","AXA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","31.57","1.09"
"AJY","AXA HAYAT VE EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","35.51","1.09"
"AJZ","AXA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.72","1.09"
"ALI","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KOÇ İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","1.88","1.88","-18.92","1.91"
"ALJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","15.88","1.09"
"ALR","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2","2","14.95","2.28"
"ALS","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2","2","25.7","2.28"
"ALU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2","2","3.52","2.28"
"AMG","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.88","1.88","26.61","1.91"
"AMR","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.88","1.88","25.64","1.91"
"AMZ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.05","1.05","63.51","1.09"
"ANE","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","1.73","1.73","21.33","1.91"
"ANG","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.73","1.73","23.58","1.91"
"ANJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","33.74","1.09"
"ANP","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","26.27","1.09"
"ANS","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1.98","1.98","5.16","2.28"
"APG","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","0.75","0.75","10.15","0.95"
"ATE","ANADOLU HAYAT EMEKLİLİK A.Ş. İŞ BANKASI İŞTİRAK ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","1.89","1.89","-2.99","1.91"
"ATK","ANADOLU HAYAT EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.85","1.85","27.51","1.91"
"AUA","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1.65","1.65","19.6","2.28"
"AUG","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.85","1.85","31.13","2.28"
"AVB","AGESA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 5-15 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1","1","30.17","1.91"
"AVD","AGESA HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","1.87","1.87","29.52","1.91"
"AVE","AGESA HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.9","1.9","14.54","2.28"
"AVG","AGESA HAYAT VE EMEKLİLİK A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1.89","1.89","27.56","1.91"
"AVH","AGESA HAYAT VE EMEKLİLİK A.Ş. BIST TEMETTÜ 25 ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","1.86","1.86","-1.44","1.91"
"AVK","AGESA HAYAT VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.89","1.89","27.5","1.91"
"AVN","AGESA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.86","1.86","29.89","1.91"
"AVO","AGESA HAYAT VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","1.9","1.9","56.22","1.91"
"AVP","AGESA HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.9","1.9","31.37","2.28"
"AVR","AGESA HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ YABANCI DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.24","2.24","11.1","2.28"
"AVU","AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.89","1.89","16.77","1.91"
"AYJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","25.56","1.09"
"AZD","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.85","1.85","27.03","1.91"
"AZH","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2","2","13","2.28"
"AZK","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.85","1.85","34.93","1.91"
"AZS","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.83","1.83","29.4","1.91"
"AZY","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. TARIM VE GIDA FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1","1","8.46","1.2"
"BEE","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.24","2.24","14.92","2.28"
"BEF","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","16.73","1.09"
"BEH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.26","2.26","1.19","2.28"
"BEI","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","23.73","1.09"
"BEK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. FİBA PORTFÖY BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.9","1.9","31.33","1.91"
"BEO","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","10.5","1.09"
"BGL","ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.05","1.05","59.36","1.09"
"BHK","BEREKET EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikası Fonu","1.8615","1.8615","0","1.91"
"BHS","ANADOLU HAYAT EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK  HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","4.08","2.28"
"BHT","ANADOLU HAYAT EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","-4.71","2.28"
"BNA","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.02","1.02","67.18","1.09"
"BNB","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.19","2.19","49.38","2.28"
"BNL","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","38.98","1.09"
"BNO","ANADOLU HAYAT EMEKLİLİK A.Ş TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","21.93","2.28"
"BNS","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.88","1.88","40.66","1.91"
"BNZ","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","32.93","1.09"
"BPE","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.08","2.08","15.36","2.28"
"BPG","BNP PARİBAS CARDİF EMEKLİLİK A.Ş.BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.88","1.88","24.11","1.91"
"BPH","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.08","2.08","7.83","2.28"
"BPI","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","17.08","1.09"
"BPJ","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","24.72","1.09"
"BPK","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.84","1.84","27.48","1.91"
"BPN","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","20.6","1.09"
"BPO","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","29.53","1.09"
"BPR","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","55.44","1.09"
"BPS","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","25.22","1.09"
"BPU","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.84","1.84","26.96","1.91"
"BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.19","2.19","10.07","2.28"
"CFA","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.05","1.05","74.91","1.09"
"CFC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.85","1.85","37.41","1.91"
"CFD","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1.85","1.85","25.66","1.91"
"CFE","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","27.56","1.09"
"CHA","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","30.93","1.09"
"CHC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","60.06","1.09"
"CHD","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","22.6","1.09"
"CHG","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","5.18","1.09"
"CHH","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BİRİNCİ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1.75","1.75","6.19","2.28"
"CHI","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","26.12","1.09"
"CHK","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.46","1.46","37.81","1.91"
"CHM","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.75","1.75","22.44","2.28"
"CHN","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.75","1.75","21.4","2.28"
"CHO","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","21.41","1.09"
"CHS","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.46","1.46","28.67","1.91"
"CHU","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","24.71","1.09"
"EHG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1","1","20.13","2.28"
"EIE","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.825","1.825","8.79","2.28"
"EIF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.825","1.825","29.8","1.91"
"EIG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.825","1.825","29.38","1.91"
"EIH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1.825","1.825","10.68","2.28"
"EIK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1.825","1.825","24.83","1.91"
"EST","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.825","1.825","22.8","1.91"
"FEA","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATLAS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","1.5","1.5","55.83","1.91"
"FEF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TACİRLER PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.81","1.81","16.25","2.28"
"FEN","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.88","1.88","21.39","1.91"
"FEO","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. İSTANBUL PORTFÖY DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.88","1.88","23.65","2.28"
"FES","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.23","2.23","42.23","2.28"
"FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","22.34","2.28"
