"Fon Kodu","Fon Adı","Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"AVO","AGESA HAYAT VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","3,4269","10,9606","24,2125","13,6039","56,2236","180,1368","284,5147"
"FEA","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATLAS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","3,3312","11,0217","24,4929","13,9322","55,8404","177,7733","350,2843"
"BPR","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,4439","5,0922","18,3590","7,5639","55,5452","258,2725","380,6804"
"BGL","ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","10,2688","24,1831","25,7435","27,0674","55,1357","-","-"
"FIZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,7072","7,6225","20,4751","10,2680","54,7428","250,4916","344,8826"
"FJG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş.  RE-PIE PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","5,3767","13,2275","31,3003","17,0456","53,6298","535,2799","-"
"GHP","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,6156","9,3004","24,3634","12,1361","53,5413","287,7908","493,0966"
"VED","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1252","10,1557","22,3342","12,6912","52,7300","178,7577","287,9292"
"AJF","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3862","8,0191","23,2627","11,2790","52,2694","274,6760","436,1925"
"AHC","ANADOLU HAYAT EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","3,5196","9,9594","23,1885","12,5108","51,2360","171,0614","261,2126"
"VEP","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,0405","9,3508","23,3654","11,9464","50,3813","235,6584","382,8795"
"BNB","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","5,7214","9,5547","23,8045","12,7105","50,2274","176,4146","312,0253"
"VES","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","2,9595","7,9606","21,8199","11,1195","50,1140","204,8077","296,4675"
"MHM","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,2096","5,8128","19,8244","8,7179","49,3193","357,1885","497,1033"
"AFJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,6677","8,4331","22,8767","11,2598","48,6625","226,1169","345,3255"
"VVM","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,6561","8,1969","22,4351","11,1014","48,5605","228,0739","350,2953"
"VEU","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,0960","5,1571","21,5904","7,3214","48,1019","167,4727","262,4574"
"NHM","NN HAYAT VE EMEKLİLİK A.Ş. QINVEST PORTFÖY TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,1690","8,8941","21,5527","9,7271","46,4896","206,9069","331,1867"
"KJM","KATILIM EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","5,5017","23,7197","19,4285","29,7189","45,8691","284,7567","-"
"GHZ","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,2297","8,6638","19,7625","11,1516","45,5706","143,7299","236,0938"
"NHN","NN HAYAT VE EMEKLİLİK A.Ş.İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,2054","10,5305","17,6016","12,3803","45,2474","596,4134","1.640,5502"
"AEG","AGESA HAYAT VE EMEKLİLİK A.Ş. MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,4008","7,7285","22,1552","10,6797","44,7981","229,9061","349,8674"
"AH8","ANADOLU HAYAT EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,2207","4,6612","21,3550","7,8727","44,5057","223,7128","333,8380"
"FIM","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. AKTİF PORTFÖY KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8529","7,8988","21,2257","10,3381","44,2143","226,5498","581,8338"
"AJT","AXA HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,1060","6,1167","19,5744","9,1471","42,6779","203,5851","309,3857"
"FES","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6326","5,5966","19,2887","7,9228","42,6724","190,6853","304,2833"
"MZN","AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","4,4035","9,2788","22,1915","12,6609","42,6272","221,5077","-"
"TJY","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","3,5365","5,7697","21,5809","8,2592","42,5104","222,9950","-"
"IEB","NN HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","5,8663","8,4617","24,2610","10,8429","41,5774","242,2696","375,6380"
"BNS","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","6,1047","8,3295","24,0527","10,7657","41,4255","240,8977","375,4120"
"ZHF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9518","8,5793","19,1655","10,4907","40,4560","187,9658","378,8857"
"FIR","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OSMANLI PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","6,9944","15,8930","24,8457","18,0553","40,4358","333,6146","888,2001"
"BNL","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","6,1799","8,7949","23,7113","10,9924","39,3390","255,4055","446,7880"
"FIG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","7,3594","17,7200","24,0206","19,6246","39,2307","290,0248","646,3978"
"GKB","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","0,3008","6,4689","14,8389","8,8212","38,9343","175,2321","210,5809"
"GCT","GARANTİ EMEKLİLİK VE HAYAT A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-0,6324","6,1082","19,4419","9,6285","38,8623","330,4185","-"
"GHT","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0,1655","2,4577","18,4959","5,4466","38,8566","188,3993","324,8720"
"CHK","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1,2413","1,7604","15,8327","6,0262","38,5830","170,3677","233,5626"
"GEK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1,3899","2,7909","17,3681","6,5519","38,2822","180,9901","271,2963"
"GCY","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","4,1870","19,5951","22,6551","24,0898","38,2145","256,1128","-"
"CFC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1,2814","1,7800","16,1077","5,9955","38,1502","174,0658","239,3231"
"TYJ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. İKİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","3,4889","2,1740","15,6570","4,3677","37,8524","212,2028","-"
"KKS","KATILIM EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikası Fonu","1,6853","8,2182","20,8865","10,4420","37,5665","119,1794","167,9681"
"AJY","AXA HAYAT VE EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1857","2,1890","21,5456","4,4505","36,3111","365,7904","888,3640"
"FIK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KARE PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1,9583","4,8315","15,0096","7,5865","35,8050","274,6026","751,9125"
"AZK","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1,4521","1,1533","15,8704","5,3284","35,5912","168,9197","232,3994"
"AH4","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","7,2967","16,8266","19,7965","17,4559","35,5056","223,0504","628,0499"
"RZN","AXA HAYAT VE EMEKLİLİK A.Ş. FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1,2099","1,5900","13,9717","4,0821","35,3545","-","-"
"AGM","BEREKET EMEKLİLİK VE HAYAT A.Ş. MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0,6433","5,8090","15,1653","9,0648","35,1806","217,6721","401,8624"
"MZL","AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","3,6914","6,6172","19,3142","9,8259","34,7932","233,6116","-"
"GHV","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1224","9,4048","23,0442","10,7543","34,7445","155,3927","274,5574"
"AE2","AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1,6935","0,9922","14,1223","4,8263","33,7050","170,3559","238,7657"
"ANJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2154","1,6248","17,8462","4,9101","33,4190","363,1884","711,0270"
"HS1","ANADOLU HAYAT EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","0,6798","1,0059","13,8166","5,8066","33,2923","167,9117","242,2265"
"GHO","GARANTİ EMEKLİLİK VE HAYAT A.Ş. ÜÇÜNCÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0,2423","2,3857","11,7228","4,5433","33,2091","244,5852","722,0561"
"VEV","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,4527","1,8039","17,4955","3,2437","33,1481","351,1440","757,6565"
"HED","AXA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","2,3565","9,8615","15,1232","10,6365","32,7534","232,4528","681,0619"
"BNZ","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","3,1062","9,6522","21,9641","10,5585","32,6571","221,4197","384,3202"
"VVE","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3618","1,8141","17,8109","5,1994","32,4647","372,8496","724,7468"
"BEK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. FİBA PORTFÖY BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","0,0663","0,0441","12,8851","3,5070","32,3528","156,9771","209,8877"
"FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","3,3630","-0,3652","11,2797","2,5344","32,3196","-","-"
"GEU","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,8570","9,0677","16,7659","10,6612","31,9529","200,0979","514,7456"
"VGZ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0,8375","-0,1523","15,1650","2,8228","31,9170","186,2002","365,9513"
"AH1","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","0,6071","0,6096","13,3561","4,4233","31,8818","164,4057","224,7460"
"MHE","METLİFE EMEKLİLİK VE HAYAT A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","8,2144","8,9681","30,8766","10,8089","31,5511","286,0273","552,9304"
"AVB","AGESA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 5-15 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","2,4039","9,1804","13,3357","9,6952","31,3828","252,3504","706,0088"
"AUG","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,0443","8,6174","14,3074","9,8272","31,2472","207,6968","591,4729"
"CHA","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,5898","1,2803","17,5640","4,3427","31,2230","503,8666","1.301,6154"
"AEN","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9698","2,4790","16,7529","5,1310","31,2154","195,5871","309,9945"
"GHN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,7049","3,1543","18,0399","6,0542","31,0879","412,9480","927,5113"
"AJV","AXA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3522","2,2963","18,1110","5,5149","31,0799","361,4144","702,3096"
"AVP","AGESA HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1193","1,5640","17,7217","4,7527","30,9502","363,8346","704,5247"
"EIG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","-0,1236","-1,7248","11,1833","1,6809","30,7838","159,5647","231,1480"
"AVN","AGESA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1,0128","-1,8244","13,6050","2,2228","30,4978","237,4364","380,9409"
"BPO","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9336","5,6737","20,0431","5,7076","30,3979","413,7213","917,6115"
"GHG","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","3,0048","10,9707","14,6434","11,7692","30,3890","227,0983","667,8091"
"AJC","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2834","-1,7818","15,6374","1,8258","30,3504","468,9817","1.003,7516"
"HEC","AXA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","1,3701","1,3046","14,9964","4,7993","30,3438","227,3612","399,2729"
"EIF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","4,2544","14,6507","16,7546","15,1400","30,2916","213,8527","631,1566"
"AJH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8919","1,1374","18,3908","3,2811","30,0451","354,8432","877,7555"
"IEA","NN HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,7428","9,9702","15,4656","11,0829","30,0273","199,6359","536,2167"
"AZS","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","0,8996","-2,0128","13,3984","2,0699","29,9373","239,3729","384,6194"
"FIU","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,4540","1,3086","18,2638","3,2080","29,9172","253,1369","886,1505"
"KEB","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1,1570","4,2822","15,4918","5,7879","29,9169","189,6764","385,6839"
"KOA","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","1,2068","0,6568","14,1036","3,7877","29,8139","231,1819","405,7312"
"VGG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6108","3,6287","24,6669","5,0681","29,7945","218,9993","438,4522"
"FIV","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3917","3,3190","19,7661","5,3790","29,7775","214,4202","604,9514"
"AAJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","1,3459","0,9527","14,2730","4,0947","29,7690","234,8074","415,9794"
"KET","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,4867","4,3475","19,6409","5,8721","29,4067","419,9634","864,1337"
"CHS","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1,3477","-2,2861","13,3906","1,5380","29,3907","254,6088","406,3121"
"AJZ","AXA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,5616","-0,4281","17,9561","1,5355","29,2296","445,6105","1.331,6278"
"AH9","ANADOLU HAYAT EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,5686","-1,3813","15,1386","1,2199","29,1131","410,9517","826,0850"
"VGH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,8762","3,8162","19,1352","5,1128","28,4471","322,6502","748,8581"
"AIE","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","3,7222","3,6883","18,7488","4,8216","28,4444","342,1295","806,1871"
"HEK","AXA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1,0461","-1,5394","12,9870","2,5578","28,4325","216,3153","342,2750"
"VVU","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,6748","3,6890","18,9022","4,7854","28,3087","340,5229","802,7547"
"AVK","AGESA HAYAT VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","-0,8118","-0,6361","10,8400","4,1664","28,2990","77,8292","122,4871"
"FIS","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","0,8570","3,5217","18,1553","5,4439","28,2817","168,0910","376,0674"
"ATK","ANADOLU HAYAT EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1,3686","-1,0998","13,6046","2,3428","28,1350","213,0828","332,7008"
"HEB","AXA HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,6897","-2,5584","12,0399","0,8284","28,0026","192,5700","357,9997"
"GES","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1,2212","3,3177","13,7979","4,8175","27,9916","211,5388","434,8306"
"AVG","AGESA HAYAT VE EMEKLİLİK A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","2,0417","9,0225","12,8411","9,6860","27,9649","223,6012","647,9946"
